,Scenario,Time,Parameter,Metric,Units,Climate_Scenario,Climate_GCM,Management_Scenario,Disturbance_Scenario,Total_Scenario
65,HAD_GEM2_MoreHarvest_rep1,50, Oak_Shelterwood,1411.58,Biomass removed (g/m2),ClimateChange,HAD_GEM2,MoreHarvest,Wind_Harvest,HAD_GEM2_MoreHarvest
70,HAD_GEM2_rep1,50, Oak_Shelterwood,2727.43,Biomass removed (g/m2),ClimateChange,HAD_GEM2,BAU,Wind_Harvest,HAD_GEM2_BAU
75,Historical_LessHarvest_rep1,50, Oak_Shelterwood,2306.82,Biomass removed (g/m2),Historical,Historical,LessHarvest,Wind_Harvest,Historical_LessHarvest
81,Historical_MoreHarvest_rep1,50, Oak_Shelterwood,1267.05,Biomass removed (g/m2),Historical,Historical,MoreHarvest,Wind_Harvest,Historical_MoreHarvest
86,Historical_rep1,50, Oak_Shelterwood,1636.81,Biomass removed (g/m2),Historical,Historical,BAU,Wind_Harvest,Historical_BAU
94,MIROC-ESM_rep1,50, Oak_Shelterwood,2430.24,Biomass removed (g/m2),ClimateChange,MIROC-ESM,BAU,Wind_Harvest,MIROC-ESM_BAU
100,MIROC_LessHarvest_rep1,50, Oak_Shelterwood,2605.45,Biomass removed (g/m2),ClimateChange,MIROC-ESM,LessHarvest,Wind_Harvest,MIROC-ESM_LessHarvest
105,MIROC_MoreHarvest_rep1,50, Oak_Shelterwood,1398.73,Biomass removed (g/m2),ClimateChange,MIROC-ESM,MoreHarvest,Wind_Harvest,MIROC-ESM_MoreHarvest
109,MRI_LessHarvest_rep1,50, Oak_Shelterwood,3158.35,Biomass removed (g/m2),ClimateChange,MRI,LessHarvest,Wind_Harvest,MRI_LessHarvest
117,MRI_MoreHarvest_rep1,50, Oak_Shelterwood,989.55,Biomass removed (g/m2),ClimateChange,MRI,MoreHarvest,Wind_Harvest,MRI_MoreHarvest
126,MRI_rep1,50, Oak_Shelterwood,2958.02,Biomass removed (g/m2),ClimateChange,MRI,BAU,Wind_Harvest,MRI_BAU
6,bcc_LessHarvest_rep1,50,C_stocks,7391.85,C density (g/m2),ClimateChange,bcc,LessHarvest,Wind_Harvest,bcc_LessHarvest
8,bcc_MoreHarvest_rep1,50,C_stocks,7262.2,C density (g/m2),ClimateChange,bcc,MoreHarvest,Wind_Harvest,bcc_MoreHarvest
13,bcc_rep1,50,C_stocks,7306.15,C density (g/m2),ClimateChange,bcc,BAU,Wind_Harvest,bcc_BAU
24,CCSM4_LessHarvest_rep1,50,C_stocks,7764.75,C density (g/m2),ClimateChange,CCSM4,LessHarvest,Wind_Harvest,CCSM4_LessHarvest
30,CCSM4_MoreHarvest_rep1,50,C_stocks,7619.05,C density (g/m2),ClimateChange,CCSM4,MoreHarvest,Wind_Harvest,CCSM4_MoreHarvest
32,CCSM4_rep1,50,C_stocks,7788.45,C density (g/m2),ClimateChange,CCSM4,BAU,Wind_Harvest,CCSM4_BAU
42,CSIRO_LessHarvest_rep1,50,C_stocks,7541.55,C density (g/m2),ClimateChange,CSIRO,LessHarvest,Wind_Harvest,CSIRO_LessHarvest
44,CSIRO_MoreHarvest_rep1,50,C_stocks,7315.65,C density (g/m2),ClimateChange,CSIRO,MoreHarvest,Wind_Harvest,CSIRO_MoreHarvest
49,CSIRO_rep1,50,C_stocks,7529.5,C density (g/m2),ClimateChange,CSIRO,BAU,Wind_Harvest,CSIRO_BAU
60,HAD_GEM2_LessHarvest_rep1,50,C_stocks,7605.35,C density (g/m2),ClimateChange,HAD_GEM2,LessHarvest,Wind_Harvest,HAD_GEM2_LessHarvest
66,HAD_GEM2_MoreHarvest_rep1,50,C_stocks,7367.6,C density (g/m2),ClimateChange,HAD_GEM2,MoreHarvest,Wind_Harvest,HAD_GEM2_MoreHarvest
69,HAD_GEM2_rep1,50,C_stocks,7314.3,C density (g/m2),ClimateChange,HAD_GEM2,BAU,Wind_Harvest,HAD_GEM2_BAU
73,Historical_LessHarvest_rep1,50,C_stocks,7799.8,C density (g/m2),Historical,Historical,LessHarvest,Wind_Harvest,Historical_LessHarvest
79,Historical_MoreHarvest_rep1,50,C_stocks,7311.15,C density (g/m2),Historical,Historical,MoreHarvest,Wind_Harvest,Historical_MoreHarvest
85,Historical_rep1,50,C_stocks,7602.15,C density (g/m2),Historical,Historical,BAU,Wind_Harvest,Historical_BAU
96,MIROC-ESM_rep1,50,C_stocks,7681.3,C density (g/m2),ClimateChange,MIROC-ESM,BAU,Wind_Harvest,MIROC-ESM_BAU
98,MIROC_LessHarvest_rep1,50,C_stocks,7730.2,C density (g/m2),ClimateChange,MIROC-ESM,LessHarvest,Wind_Harvest,MIROC-ESM_LessHarvest
108,MIROC_MoreHarvest_rep1,50,C_stocks,7413.5,C density (g/m2),ClimateChange,MIROC-ESM,MoreHarvest,Wind_Harvest,MIROC-ESM_MoreHarvest
113,MRI_LessHarvest_rep1,50,C_stocks,7973.4,C density (g/m2),ClimateChange,MRI,LessHarvest,Wind_Harvest,MRI_LessHarvest
116,MRI_MoreHarvest_rep1,50,C_stocks,7607.3,C density (g/m2),ClimateChange,MRI,MoreHarvest,Wind_Harvest,MRI_MoreHarvest
122,MRI_rep1,50,C_stocks,7756.15,C density (g/m2),ClimateChange,MRI,BAU,Wind_Harvest,MRI_BAU
3,bcc_LessHarvest_rep1,50,MeanNumber_spp,11.45384727,,ClimateChange,bcc,LessHarvest,Wind_Harvest,bcc_LessHarvest
10,bcc_MoreHarvest_rep1,50,MeanNumber_spp,11.26407204,,ClimateChange,bcc,MoreHarvest,Wind_Harvest,bcc_MoreHarvest
15,bcc_rep1,50,MeanNumber_spp,11.34887909,,ClimateChange,bcc,BAU,Wind_Harvest,bcc_BAU
22,CCSM4_LessHarvest_rep1,50,MeanNumber_spp,11.70281037,,ClimateChange,CCSM4,LessHarvest,Wind_Harvest,CCSM4_LessHarvest
28,CCSM4_MoreHarvest_rep1,50,MeanNumber_spp,11.63915936,,ClimateChange,CCSM4,MoreHarvest,Wind_Harvest,CCSM4_MoreHarvest
34,CCSM4_rep1,50,MeanNumber_spp,11.75362979,,ClimateChange,CCSM4,BAU,Wind_Harvest,CCSM4_BAU
41,CSIRO_LessHarvest_rep1,50,MeanNumber_spp,11.6541232,,ClimateChange,CSIRO,LessHarvest,Wind_Harvest,CSIRO_LessHarvest
43,CSIRO_MoreHarvest_rep1,50,MeanNumber_spp,11.46328561,,ClimateChange,CSIRO,MoreHarvest,Wind_Harvest,CSIRO_MoreHarvest
54,CSIRO_rep1,50,MeanNumber_spp,11.68407165,,ClimateChange,CSIRO,BAU,Wind_Harvest,CSIRO_BAU
56,HAD_GEM2_LessHarvest_rep1,50,MeanNumber_spp,11.25423062,,ClimateChange,HAD_GEM2,LessHarvest,Wind_Harvest,HAD_GEM2_LessHarvest
61,HAD_GEM2_MoreHarvest_rep1,50,MeanNumber_spp,11.07569812,,ClimateChange,HAD_GEM2,MoreHarvest,Wind_Harvest,HAD_GEM2_MoreHarvest
68,HAD_GEM2_rep1,50,MeanNumber_spp,11.07740326,,ClimateChange,HAD_GEM2,BAU,Wind_Harvest,HAD_GEM2_BAU
77,Historical_LessHarvest_rep1,50,MeanNumber_spp,12.8166227,,Historical,Historical,LessHarvest,Wind_Harvest,Historical_LessHarvest
